id,cliente,valor,status,lat,lng,risco_score
1773,Cliente 1773,38556.19,Aprovada,-10.7363,-38.5525,46
1774,Cliente 1774,16203.51,Aprovada,-26.9735,-40.5995,8
1775,Cliente 1775,40910.7,Aprovada,-20.6639,-42.0396,1
1776,Cliente 1776,14174.02,Aprovada,-14.3356,-42.7819,5
1777,Cliente 1777,5747.02,Aprovada,-17.9945,-55.0617,27
1778,Cliente 1778,10626.63,Aprovada,-29.6707,-45.3243,69
1779,Cliente 1779,25870.24,Aprovada,-23.3287,-38.9784,22
1780,Cliente 1780,47862.58,Aprovada,-28.2155,-56.35,27
1781,Cliente 1781,42736.88,Aprovada,-29.2319,-46.9187,35
1782,Cliente 1782,29828.27,Aprovada,-12.5366,-37.9237,42
1783,Cliente 1783,12658.31,Pendenciada,-26.5373,-43.7867,43
1784,Cliente 1784,31734.96,Aprovada,-28.3964,-40.4555,32
1785,Cliente 1785,40085.12,Aprovada,-19.0622,-42.2749,15
1786,Cliente 1786,26476.67,Aprovada,-27.3913,-58.226,2
1787,Cliente 1787,24438.54,Fraude,-22.9095,-40.95,91
1788,Cliente 1788,31366.47,Aprovada,-24.4519,-43.7485,11
1789,Cliente 1789,27479.82,Aprovada,-9.316,-37.2442,30
1790,Cliente 1790,28182.05,Aprovada,-27.7408,-42.6465,11
1791,Cliente 1791,49105.61,Aprovada,-7.3393,-43.1841,26
1792,Cliente 1792,22857.16,Aprovada,-24.3676,-46.4675,38
1793,Cliente 1793,47082.0,Reprovada,-8.1245,-41.6923,27
1794,Cliente 1794,3131.91,Aprovada,-20.6091,-43.2796,42
1795,Cliente 1795,434.04,Aprovada,-9.1148,-44.4948,70
1796,Cliente 1796,44363.06,Aprovada,-16.0148,-58.3638,52
1797,Cliente 1797,759.74,Reprovada,-6.5638,-59.7548,61
1798,Cliente 1798,7202.01,Aprovada,-20.7046,-51.36,5
1799,Cliente 1799,42517.14,Aprovada,-28.5978,-57.1196,49
1800,Cliente 1800,9172.78,Aprovada,-19.5467,-48.4647,4
1801,Cliente 1801,40804.67,Reprovada,-9.0862,-47.7567,50
1802,Cliente 1802,16108.55,Aprovada,-15.0464,-35.7728,57
1803,Cliente 1803,47175.8,Aprovada,-28.8683,-57.0372,62
1804,Cliente 1804,13782.16,Fraude,-25.9253,-57.7863,85
1805,Cliente 1805,48898.4,Fraude,-17.0327,-55.5952,93
1806,Cliente 1806,12554.75,Aprovada,-7.4319,-38.91,16
1807,Cliente 1807,46578.38,Aprovada,-6.7971,-53.1593,25
1808,Cliente 1808,25428.45,Pendenciada,-18.8059,-40.1698,40
1809,Cliente 1809,7371.8,Reprovada,-9.3468,-39.2335,11
1810,Cliente 1810,15380.94,Aprovada,-16.2875,-36.3977,17
1811,Cliente 1811,42164.83,Aprovada,-7.5959,-49.7919,68
1812,Cliente 1812,42675.72,Pendenciada,-11.3846,-41.7579,12
1813,Cliente 1813,23383.01,Pendenciada,-15.4284,-49.4777,0
1814,Cliente 1814,39605.95,Aprovada,-12.2435,-47.5418,45
1815,Cliente 1815,29460.97,Aprovada,-18.4709,-51.8547,62
1816,Cliente 1816,34144.43,Pendenciada,-27.9813,-47.0279,11
1817,Cliente 1817,6429.2,Pendenciada,-27.0694,-58.123,44
1818,Cliente 1818,16812.31,Pendenciada,-28.1829,-45.0454,16
1819,Cliente 1819,41794.77,Fraude,-11.5489,-44.7492,92
1820,Cliente 1820,10284.31,Aprovada,-24.9671,-56.2436,22
1821,Cliente 1821,5209.4,Aprovada,-15.3598,-47.6802,2
1822,Cliente 1822,4960.15,Pendenciada,-16.0885,-54.95,68
1823,Cliente 1823,29143.88,Aprovada,-17.5404,-54.7761,40
1824,Cliente 1824,39526.72,Aprovada,-29.3353,-37.0557,23
1825,Cliente 1825,49388.75,Pendenciada,-6.4718,-53.4403,16
1826,Cliente 1826,46730.48,Aprovada,-9.5205,-51.521,3
1827,Cliente 1827,35519.36,Pendenciada,-15.1989,-45.8963,18
1828,Cliente 1828,4929.78,Aprovada,-19.6345,-43.986,10
1829,Cliente 1829,37053.13,Aprovada,-20.2378,-53.2027,23
1830,Cliente 1830,31411.17,Aprovada,-20.4801,-39.4435,45
1831,Cliente 1831,3919.48,Reprovada,-6.3259,-58.2763,68
1832,Cliente 1832,49075.72,Aprovada,-26.3546,-50.0868,49
1833,Cliente 1833,10617.32,Aprovada,-18.5736,-40.2445,23
1834,Cliente 1834,19896.7,Aprovada,-24.9077,-43.5727,70
1835,Cliente 1835,6311.9,Aprovada,-13.0479,-35.5933,63
1836,Cliente 1836,18530.98,Pendenciada,-27.9828,-50.2665,45
1837,Cliente 1837,14095.45,Aprovada,-23.3379,-43.4593,64
1838,Cliente 1838,37904.98,Aprovada,-13.7441,-51.5295,51
1839,Cliente 1839,41245.95,Aprovada,-22.433,-41.1621,11
1840,Cliente 1840,27865.33,Pendenciada,-16.4956,-59.5282,37
1841,Cliente 1841,21895.15,Aprovada,-10.2641,-41.3886,64
1842,Cliente 1842,15760.58,Aprovada,-5.6285,-46.7181,53
1843,Cliente 1843,35294.49,Aprovada,-25.6708,-47.5769,19
1844,Cliente 1844,8336.36,Aprovada,-19.3087,-57.6476,59
1845,Cliente 1845,33806.52,Aprovada,-22.6213,-53.4331,54
1846,Cliente 1846,18890.31,Reprovada,-19.1147,-53.5058,10
1847,Cliente 1847,29634.0,Aprovada,-19.2748,-41.6063,16
1848,Cliente 1848,2656.38,Aprovada,-9.1029,-37.6891,17
1849,Cliente 1849,41042.34,Pendenciada,-22.4015,-52.0191,48
1850,Cliente 1850,27291.61,Aprovada,-14.4021,-45.0078,15
1851,Cliente 1851,14020.87,Aprovada,-6.1751,-46.3689,42
1852,Cliente 1852,10208.68,Aprovada,-8.5471,-59.6497,56
1853,Cliente 1853,15525.59,Aprovada,-12.8898,-56.9045,21
1854,Cliente 1854,11123.97,Aprovada,-22.7288,-56.7948,40
1855,Cliente 1855,24337.67,Aprovada,-28.5622,-40.9296,1
1856,Cliente 1856,27583.38,Aprovada,-27.1115,-43.1362,46
1857,Cliente 1857,41596.17,Aprovada,-28.9834,-57.4909,68
1858,Cliente 1858,24827.33,Aprovada,-14.2985,-58.5754,51
1859,Cliente 1859,25293.53,Aprovada,-16.4062,-48.3449,15
1860,Cliente 1860,7490.95,Aprovada,-15.3202,-45.3229,49
1861,Cliente 1861,12465.12,Reprovada,-14.0007,-54.4357,49
1862,Cliente 1862,18193.54,Pendenciada,-15.5864,-53.0569,20
1863,Cliente 1863,4200.32,Aprovada,-26.6864,-57.8796,19
1864,Cliente 1864,13983.13,Pendenciada,-10.6111,-43.8546,12
1865,Cliente 1865,10812.52,Aprovada,-28.2601,-48.5962,53
1866,Cliente 1866,28523.53,Aprovada,-19.3992,-51.4652,18
1867,Cliente 1867,18126.68,Aprovada,-16.0995,-42.0454,60
1868,Cliente 1868,15640.44,Aprovada,-11.9175,-41.4702,13
1869,Cliente 1869,17817.75,Reprovada,-18.7701,-46.4012,46
1870,Cliente 1870,23985.83,Aprovada,-19.413,-43.7263,18
1871,Cliente 1871,2426.13,Pendenciada,-26.173,-54.0963,15
1872,Cliente 1872,41018.46,Pendenciada,-21.5902,-47.3258,1
1873,Cliente 1873,45946.22,Aprovada,-27.5123,-38.3631,5
1874,Cliente 1874,36794.62,Aprovada,-27.357,-36.8564,62
1875,Cliente 1875,33500.11,Reprovada,-13.0803,-47.6921,17
1876,Cliente 1876,38036.9,Aprovada,-11.2863,-57.3882,5
1877,Cliente 1877,25228.93,Aprovada,-15.5647,-52.7005,11
1878,Cliente 1878,21631.36,Aprovada,-10.3537,-57.1707,44
1879,Cliente 1879,17495.3,Aprovada,-18.0651,-43.8351,33
1880,Cliente 1880,13975.71,Aprovada,-14.3411,-49.1041,41
1881,Cliente 1881,49060.06,Reprovada,-21.5148,-36.2683,31
1882,Cliente 1882,28449.83,Aprovada,-20.963,-59.8602,69
1883,Cliente 1883,1127.08,Aprovada,-5.386,-48.7316,6
1884,Cliente 1884,39293.55,Pendenciada,-5.6138,-50.4675,35
1885,Cliente 1885,2277.38,Aprovada,-14.6882,-56.211,7
1886,Cliente 1886,38371.0,Aprovada,-23.9078,-39.4227,5
1887,Cliente 1887,8627.47,Aprovada,-17.7053,-45.4709,52
1888,Cliente 1888,3711.97,Pendenciada,-27.9161,-44.2385,5
1889,Cliente 1889,24304.81,Aprovada,-28.4174,-35.5701,20
1890,Cliente 1890,3961.26,Reprovada,-21.4172,-41.5849,15
1891,Cliente 1891,4884.74,Aprovada,-20.8333,-51.7392,69
1892,Cliente 1892,7773.62,Pendenciada,-13.5009,-54.8961,0
1893,Cliente 1893,3748.92,Aprovada,-10.9427,-50.0474,38
1894,Cliente 1894,40928.16,Aprovada,-20.5795,-59.2297,43
1895,Cliente 1895,33588.3,Aprovada,-28.5599,-47.8445,45
1896,Cliente 1896,45900.41,Pendenciada,-26.12,-35.8101,60
1897,Cliente 1897,16327.25,Aprovada,-27.9326,-47.2088,61
1898,Cliente 1898,14610.35,Reprovada,-22.7948,-48.6703,57
1899,Cliente 1899,23479.56,Aprovada,-15.5861,-40.8159,33
1900,Cliente 1900,39865.19,Aprovada,-28.0303,-57.6335,34
1901,Cliente 1901,604.19,Aprovada,-16.7912,-46.3181,26
1902,Cliente 1902,44516.72,Aprovada,-12.0501,-58.5459,61
1903,Cliente 1903,26222.47,Aprovada,-11.3458,-46.6687,24
1904,Cliente 1904,43586.67,Pendenciada,-19.7618,-52.6992,7
1905,Cliente 1905,32041.56,Aprovada,-19.0051,-47.8728,39
1906,Cliente 1906,21058.02,Pendenciada,-12.0489,-45.3582,0
1907,Cliente 1907,5766.13,Aprovada,-22.3013,-39.8711,10
1908,Cliente 1908,10082.6,Reprovada,-14.73,-49.4389,45
1909,Cliente 1909,16126.61,Aprovada,-27.9234,-36.9433,55
1910,Cliente 1910,14905.36,Aprovada,-9.6542,-37.2467,58
1911,Cliente 1911,5370.85,Aprovada,-21.2894,-50.842,7
1912,Cliente 1912,40675.99,Aprovada,-22.3241,-55.1687,10
1913,Cliente 1913,4892.21,Aprovada,-28.8289,-43.7324,12
1914,Cliente 1914,8775.33,Aprovada,-10.7788,-49.2388,51
1915,Cliente 1915,602.84,Aprovada,-15.2591,-51.463,31
1916,Cliente 1916,19011.39,Aprovada,-21.8316,-58.6134,9
1917,Cliente 1917,20174.75,Pendenciada,-27.0739,-48.1278,62
1918,Cliente 1918,37276.44,Pendenciada,-23.9341,-54.1213,13
1919,Cliente 1919,10706.4,Reprovada,-10.0386,-51.1113,61
1920,Cliente 1920,24883.68,Aprovada,-5.8966,-52.1828,5
1921,Cliente 1921,46975.15,Aprovada,-19.4689,-37.8872,68
1922,Cliente 1922,40149.62,Aprovada,-7.2356,-35.0911,56
1923,Cliente 1923,41483.17,Aprovada,-18.6329,-35.6107,43
1924,Cliente 1924,49998.71,Aprovada,-8.4087,-52.1736,49
1925,Cliente 1925,26469.62,Aprovada,-8.5637,-48.4451,55
1926,Cliente 1926,26306.2,Aprovada,-12.2326,-48.8017,11
1927,Cliente 1927,28872.52,Aprovada,-9.4755,-41.0346,28
1928,Cliente 1928,31253.9,Pendenciada,-9.1351,-35.0203,22
1929,Cliente 1929,18127.11,Aprovada,-11.9029,-42.8515,42
1930,Cliente 1930,20841.8,Aprovada,-16.7637,-59.7438,34
1931,Cliente 1931,5380.63,Aprovada,-13.7121,-35.7157,43
1932,Cliente 1932,42257.46,Pendenciada,-29.5337,-52.417,26
1933,Cliente 1933,19962.13,Aprovada,-23.9026,-48.732,14
1934,Cliente 1934,34757.73,Aprovada,-20.4529,-51.7212,1
1935,Cliente 1935,43671.25,Aprovada,-7.1404,-54.3416,43
1936,Cliente 1936,25983.74,Aprovada,-24.5953,-40.4661,55
1937,Cliente 1937,36307.82,Aprovada,-18.5271,-51.0596,19
1938,Cliente 1938,12096.84,Aprovada,-28.6287,-42.6463,63
1939,Cliente 1939,10320.76,Aprovada,-25.3802,-47.1116,41
1940,Cliente 1940,19759.25,Pendenciada,-7.4718,-42.4766,47
1941,Cliente 1941,39312.99,Aprovada,-16.1921,-37.85,40
1942,Cliente 1942,33314.11,Aprovada,-8.641,-38.9626,55
1943,Cliente 1943,27219.36,Aprovada,-29.1448,-54.8684,51
1944,Cliente 1944,48931.19,Pendenciada,-22.3474,-39.5276,52
1945,Cliente 1945,6231.32,Aprovada,-24.0265,-57.3588,13
1946,Cliente 1946,20419.67,Pendenciada,-9.5034,-46.1921,48
1947,Cliente 1947,18673.37,Aprovada,-25.1755,-51.8612,30
1948,Cliente 1948,37215.67,Aprovada,-9.0345,-40.2008,39
1949,Cliente 1949,11617.42,Aprovada,-19.7472,-36.3647,51
1950,Cliente 1950,43425.88,Aprovada,-24.6244,-50.3362,20
1951,Cliente 1951,47662.11,Aprovada,-17.0818,-48.5697,44
1952,Cliente 1952,26727.72,Aprovada,-19.7207,-59.7087,25
1953,Cliente 1953,1685.5,Fraude,-10.3071,-51.0126,88
1954,Cliente 1954,19453.99,Aprovada,-22.6793,-42.8232,47
1955,Cliente 1955,3525.09,Aprovada,-7.5829,-56.2603,38
1956,Cliente 1956,41795.92,Pendenciada,-23.464,-59.4001,28
1957,Cliente 1957,21331.73,Aprovada,-17.3578,-39.1765,0
1958,Cliente 1958,21679.81,Aprovada,-18.7184,-52.5786,8
1959,Cliente 1959,48851.27,Aprovada,-23.0058,-51.8593,58
1960,Cliente 1960,44899.4,Aprovada,-26.9294,-52.0187,43
1961,Cliente 1961,22389.05,Aprovada,-5.3547,-37.0068,50
1962,Cliente 1962,14101.66,Fraude,-23.0809,-59.2829,100
1963,Cliente 1963,39832.39,Pendenciada,-6.7029,-54.3259,35
1964,Cliente 1964,8809.01,Aprovada,-16.9937,-48.3332,14
1965,Cliente 1965,2077.21,Aprovada,-19.7646,-37.8592,13
1966,Cliente 1966,29070.73,Aprovada,-20.8142,-56.491,5
1967,Cliente 1967,49021.78,Aprovada,-29.6101,-44.075,47
1968,Cliente 1968,12578.63,Aprovada,-22.1121,-57.9589,27
1969,Cliente 1969,1614.74,Aprovada,-22.7931,-54.9987,0
1970,Cliente 1970,13852.03,Aprovada,-16.8528,-41.8392,18
1971,Cliente 1971,890.89,Pendenciada,-6.1345,-54.8463,23
1972,Cliente 1972,40201.84,Pendenciada,-29.0487,-36.0775,33
1973,Cliente 1973,43917.95,Aprovada,-12.882,-59.0539,13
1974,Cliente 1974,35613.19,Pendenciada,-10.6175,-39.9208,56
1975,Cliente 1975,11197.47,Aprovada,-6.2767,-37.1113,40
1976,Cliente 1976,43932.42,Aprovada,-22.6818,-46.1313,45
1977,Cliente 1977,8301.72,Aprovada,-25.3794,-37.9214,31
1978,Cliente 1978,26742.76,Aprovada,-13.2615,-41.4967,22
1979,Cliente 1979,20826.9,Aprovada,-5.4027,-41.4313,58
1980,Cliente 1980,18337.05,Aprovada,-24.4097,-53.2832,33
1981,Cliente 1981,24355.78,Pendenciada,-7.9784,-56.7777,0
1982,Cliente 1982,9267.66,Aprovada,-11.3461,-48.4805,33
1983,Cliente 1983,21653.13,Fraude,-6.763,-44.5515,98
1984,Cliente 1984,6696.7,Pendenciada,-5.6635,-40.9587,0
1985,Cliente 1985,19369.48,Pendenciada,-19.8388,-56.3341,16
1986,Cliente 1986,24667.67,Aprovada,-19.6973,-59.3241,51
1987,Cliente 1987,24282.79,Reprovada,-10.0067,-58.3793,33
1988,Cliente 1988,43989.58,Pendenciada,-13.3914,-41.5228,57
1989,Cliente 1989,34232.92,Aprovada,-10.6965,-38.7926,62
1990,Cliente 1990,30004.75,Pendenciada,-27.9053,-42.7777,42
1991,Cliente 1991,4094.5,Aprovada,-9.0419,-49.4173,62
1992,Cliente 1992,4280.6,Aprovada,-25.5315,-48.7144,44
1993,Cliente 1993,17937.31,Reprovada,-12.2143,-43.2118,47
1994,Cliente 1994,27373.87,Pendenciada,-25.9229,-47.9268,58
1995,Cliente 1995,45703.21,Fraude,-13.5627,-47.7544,87
1996,Cliente 1996,29135.9,Aprovada,-12.7991,-50.731,26
1997,Cliente 1997,39220.8,Aprovada,-14.4534,-44.3245,58
1998,Cliente 1998,41887.06,Aprovada,-15.6243,-52.1434,47
1999,Cliente 1999,9316.77,Pendenciada,-11.241,-53.7084,55
2000,Cliente 2000,29583.77,Pendenciada,-23.5209,-56.6897,7
2001,Cliente 2001,48104.2,Aprovada,-19.2756,-59.5487,27
2002,Cliente 2002,4755.99,Aprovada,-24.724,-55.7652,60
2003,Cliente 2003,12985.61,Pendenciada,-25.9491,-38.3615,61
2004,Cliente 2004,40176.67,Aprovada,-16.183,-35.7495,38
2005,Cliente 2005,35620.83,Aprovada,-21.525,-42.805,3
2006,Cliente 2006,3108.79,Aprovada,-9.1212,-46.2981,8
2007,Cliente 2007,28968.46,Pendenciada,-19.9357,-41.6104,26
2008,Cliente 2008,2895.26,Aprovada,-20.9591,-49.3545,38
2009,Cliente 2009,38175.88,Aprovada,-18.1874,-50.9508,58
2010,Cliente 2010,49043.74,Aprovada,-29.9315,-59.877,66
2011,Cliente 2011,12529.37,Aprovada,-28.9273,-45.922,43
2012,Cliente 2012,49496.14,Pendenciada,-23.5672,-48.7431,8
2013,Cliente 2013,19523.51,Reprovada,-11.5668,-35.3588,58
2014,Cliente 2014,32093.1,Aprovada,-22.3281,-39.8757,32
2015,Cliente 2015,21312.78,Aprovada,-26.4477,-46.7461,46
2016,Cliente 2016,22644.96,Fraude,-19.7845,-57.3282,85
2017,Cliente 2017,36297.51,Fraude,-27.881,-51.4081,86
2018,Cliente 2018,2146.44,Aprovada,-11.0776,-59.4072,2
2019,Cliente 2019,47271.02,Aprovada,-22.9027,-53.4054,53
2020,Cliente 2020,12095.47,Aprovada,-18.5025,-56.538,2
2021,Cliente 2021,40307.68,Reprovada,-24.2291,-43.531,22
2022,Cliente 2022,10289.82,Aprovada,-25.9413,-37.8898,54
2023,Cliente 2023,27523.57,Aprovada,-7.021,-38.0592,59
2024,Cliente 2024,33360.02,Aprovada,-26.8949,-37.696,52
2025,Cliente 2025,43095.48,Aprovada,-9.7689,-42.5067,2
2026,Cliente 2026,33137.82,Reprovada,-19.9074,-35.5979,23
2027,Cliente 2027,45844.76,Aprovada,-26.2794,-48.1529,47
2028,Cliente 2028,30118.4,Reprovada,-15.9964,-49.273,36
2029,Cliente 2029,32840.46,Aprovada,-18.1525,-52.8487,42
2030,Cliente 2030,505.37,Aprovada,-6.7728,-58.2398,42
2031,Cliente 2031,42044.89,Aprovada,-7.5283,-59.3793,38
2032,Cliente 2032,34943.03,Aprovada,-15.9862,-54.2214,8
2033,Cliente 2033,45706.61,Pendenciada,-29.176,-44.7579,35
2034,Cliente 2034,34814.49,Aprovada,-25.704,-42.1763,70
2035,Cliente 2035,9731.03,Fraude,-10.4445,-40.3392,97
2036,Cliente 2036,46198.17,Aprovada,-6.3249,-58.6076,26
2037,Cliente 2037,42968.24,Aprovada,-26.4703,-38.5915,38
2038,Cliente 2038,26040.98,Aprovada,-24.0331,-58.4277,8
2039,Cliente 2039,2357.38,Aprovada,-29.4292,-43.186,36
2040,Cliente 2040,42936.24,Aprovada,-29.8426,-45.8275,47
2041,Cliente 2041,18636.61,Aprovada,-7.7915,-47.3335,30
2042,Cliente 2042,42053.44,Aprovada,-21.609,-40.6584,40
2043,Cliente 2043,44429.08,Aprovada,-17.1536,-52.5895,67
2044,Cliente 2044,14645.22,Pendenciada,-13.7809,-56.6125,46
2045,Cliente 2045,14034.13,Aprovada,-22.8293,-44.6206,40
2046,Cliente 2046,31924.62,Aprovada,-14.5504,-41.3744,60
2047,Cliente 2047,40712.1,Aprovada,-19.3567,-43.2429,0
2048,Cliente 2048,35164.13,Aprovada,-26.1067,-46.2361,26
2049,Cliente 2049,47376.01,Reprovada,-27.9394,-42.4976,32
2050,Cliente 2050,25247.48,Fraude,-11.6881,-53.5825,95
2051,Cliente 2051,31894.47,Aprovada,-13.1638,-40.5321,59
2052,Cliente 2052,13961.24,Aprovada,-9.0811,-53.2998,3
2053,Cliente 2053,12125.65,Aprovada,-23.1765,-35.0601,41
2054,Cliente 2054,40259.08,Aprovada,-16.7977,-50.9877,31
2055,Cliente 2055,49094.61,Pendenciada,-13.2057,-40.9567,37
2056,Cliente 2056,42679.27,Aprovada,-11.7681,-45.7029,30
2057,Cliente 2057,43412.56,Aprovada,-13.2508,-35.6594,64
2058,Cliente 2058,20335.04,Aprovada,-16.7875,-57.4022,0
2059,Cliente 2059,30777.54,Aprovada,-13.2715,-39.1662,63
2060,Cliente 2060,20545.46,Aprovada,-29.5092,-41.4432,51
2061,Cliente 2061,32322.12,Pendenciada,-7.7967,-39.6051,41
2062,Cliente 2062,39350.0,Reprovada,-29.1569,-52.3264,35
2063,Cliente 2063,12653.8,Reprovada,-5.2197,-47.9096,46
2064,Cliente 2064,48451.79,Aprovada,-12.1546,-43.8091,8
2065,Cliente 2065,28748.12,Aprovada,-20.8834,-58.7045,43
2066,Cliente 2066,2174.76,Aprovada,-28.8283,-39.9369,8
2067,Cliente 2067,32126.68,Aprovada,-10.4569,-51.2881,49
2068,Cliente 2068,6840.11,Aprovada,-14.9582,-48.7029,6
2069,Cliente 2069,47466.19,Aprovada,-27.538,-47.4735,41
2070,Cliente 2070,16202.86,Aprovada,-29.2518,-41.6111,63
2071,Cliente 2071,29400.47,Aprovada,-23.7287,-35.2669,57
2072,Cliente 2072,29513.83,Aprovada,-18.8476,-39.0413,70
2073,Cliente 2073,18434.73,Aprovada,-8.1706,-53.8054,35
2074,Cliente 2074,31240.45,Aprovada,-14.7216,-54.2111,19
2075,Cliente 2075,43162.54,Aprovada,-7.5117,-42.6922,4
2076,Cliente 2076,7499.02,Aprovada,-21.1485,-40.1891,31
2077,Cliente 2077,35409.6,Reprovada,-19.1061,-44.0358,69
2078,Cliente 2078,34472.34,Aprovada,-27.125,-52.8824,6
2079,Cliente 2079,6606.19,Pendenciada,-18.5772,-42.3694,64
2080,Cliente 2080,14925.95,Aprovada,-23.4533,-39.724,31
2081,Cliente 2081,23601.6,Reprovada,-11.917,-44.5238,44
2082,Cliente 2082,3765.25,Aprovada,-17.9847,-58.8052,38
2083,Cliente 2083,4270.34,Pendenciada,-8.5215,-44.2626,61
2084,Cliente 2084,21231.62,Pendenciada,-8.3487,-56.7191,67
2085,Cliente 2085,44705.37,Aprovada,-12.6543,-35.1581,10
2086,Cliente 2086,14182.32,Aprovada,-21.2769,-51.9147,5
2087,Cliente 2087,24251.77,Aprovada,-24.5191,-49.7509,61
2088,Cliente 2088,7363.57,Pendenciada,-8.1841,-52.3847,48
2089,Cliente 2089,30757.36,Aprovada,-21.0143,-56.76,64
2090,Cliente 2090,15752.62,Pendenciada,-18.3425,-38.0183,26
2091,Cliente 2091,35034.89,Reprovada,-22.9082,-35.0287,31
2092,Cliente 2092,3543.1,Pendenciada,-24.9721,-48.743,34
2093,Cliente 2093,36186.93,Aprovada,-6.5116,-50.2951,64
2094,Cliente 2094,31070.11,Aprovada,-23.5307,-49.7988,29
2095,Cliente 2095,31209.97,Aprovada,-27.7123,-45.5334,22
2096,Cliente 2096,26640.5,Fraude,-24.796,-55.3629,91
2097,Cliente 2097,11982.97,Aprovada,-8.1398,-53.7946,8
2098,Cliente 2098,26669.32,Aprovada,-25.677,-42.233,59
2099,Cliente 2099,10356.51,Aprovada,-25.3802,-39.1125,63
2100,Cliente 2100,28978.59,Reprovada,-7.5631,-48.5429,50
2101,Cliente 2101,22075.66,Reprovada,-14.4964,-51.5664,59
2102,Cliente 2102,43695.56,Aprovada,-10.8022,-39.7671,57
2103,Cliente 2103,31222.64,Reprovada,-23.4359,-51.3067,55
2104,Cliente 2104,25740.38,Reprovada,-19.4758,-59.1857,14
2105,Cliente 2105,8336.63,Reprovada,-25.009,-43.4888,21
2106,Cliente 2106,43501.07,Aprovada,-21.6592,-36.5369,60
2107,Cliente 2107,26076.23,Aprovada,-27.4237,-57.8479,15
2108,Cliente 2108,31823.45,Pendenciada,-13.348,-40.1361,0
2109,Cliente 2109,11562.7,Aprovada,-8.4755,-41.5249,57
2110,Cliente 2110,12557.91,Aprovada,-29.4923,-54.4121,28
2111,Cliente 2111,3867.57,Aprovada,-25.8126,-39.6666,8
2112,Cliente 2112,16200.59,Aprovada,-22.8398,-53.7527,59
2113,Cliente 2113,641.68,Aprovada,-20.6893,-55.2396,2
2114,Cliente 2114,2877.01,Aprovada,-12.4486,-49.3636,26
2115,Cliente 2115,14339.15,Pendenciada,-18.7219,-37.4185,46
2116,Cliente 2116,37538.96,Aprovada,-22.1803,-43.9037,5
2117,Cliente 2117,8737.63,Aprovada,-21.0713,-54.653,48
2118,Cliente 2118,46488.16,Reprovada,-20.4348,-49.2715,51
2119,Cliente 2119,41214.05,Aprovada,-11.4042,-58.6474,63
2120,Cliente 2120,33757.75,Aprovada,-12.8329,-47.6887,31
2121,Cliente 2121,33957.82,Aprovada,-21.1841,-45.9833,48
2122,Cliente 2122,28423.85,Aprovada,-12.6682,-48.4298,63
2123,Cliente 2123,32376.27,Reprovada,-12.3366,-40.5805,32
2124,Cliente 2124,16637.75,Aprovada,-10.8841,-54.0042,12
2125,Cliente 2125,23340.82,Reprovada,-6.2132,-45.8022,23
2126,Cliente 2126,45290.12,Aprovada,-27.8943,-44.6944,24
2127,Cliente 2127,29139.92,Pendenciada,-11.677,-49.4301,68
2128,Cliente 2128,12747.11,Aprovada,-12.5176,-37.3818,8
2129,Cliente 2129,31388.2,Aprovada,-6.8142,-49.7973,70
2130,Cliente 2130,42699.15,Aprovada,-25.088,-41.2069,48
2131,Cliente 2131,16467.4,Aprovada,-13.1859,-57.2973,49
2132,Cliente 2132,21252.41,Aprovada,-12.0221,-42.7831,40
2133,Cliente 2133,31082.69,Aprovada,-17.8361,-47.2845,46
2134,Cliente 2134,11647.97,Aprovada,-13.8693,-58.3169,57
2135,Cliente 2135,48960.32,Aprovada,-5.594,-46.3777,17
2136,Cliente 2136,23952.03,Aprovada,-21.8332,-58.4785,42
2137,Cliente 2137,2483.45,Pendenciada,-16.8696,-56.004,6
2138,Cliente 2138,27094.25,Aprovada,-12.4278,-37.0105,56
2139,Cliente 2139,35174.17,Aprovada,-13.3482,-55.6867,37
2140,Cliente 2140,14252.23,Reprovada,-6.7984,-59.6148,18
2141,Cliente 2141,21062.82,Aprovada,-26.013,-52.3602,39
2142,Cliente 2142,5415.72,Aprovada,-9.9007,-47.8757,39
2143,Cliente 2143,28067.29,Aprovada,-20.1872,-48.2072,52
2144,Cliente 2144,38592.82,Aprovada,-14.5971,-58.1064,19
2145,Cliente 2145,20898.72,Aprovada,-23.9559,-58.7867,57
2146,Cliente 2146,42527.51,Pendenciada,-9.0289,-49.2909,54
2147,Cliente 2147,25879.76,Aprovada,-11.4486,-51.9236,19
2148,Cliente 2148,18331.13,Reprovada,-21.9131,-49.9587,27
2149,Cliente 2149,9143.58,Fraude,-11.8902,-51.9992,89
2150,Cliente 2150,37578.06,Reprovada,-23.7754,-47.3341,40
2151,Cliente 2151,5448.85,Fraude,-12.0665,-39.3746,93
2152,Cliente 2152,47420.26,Aprovada,-19.9972,-56.6427,35
2153,Cliente 2153,2783.98,Aprovada,-24.2277,-49.7274,43
2154,Cliente 2154,29398.04,Aprovada,-23.3973,-43.2643,58
2155,Cliente 2155,11401.39,Pendenciada,-17.3748,-53.4096,48
2156,Cliente 2156,28182.76,Aprovada,-20.4771,-46.4075,46
2157,Cliente 2157,13214.61,Aprovada,-10.6654,-45.7995,54
2158,Cliente 2158,1186.53,Aprovada,-29.0204,-43.6944,68
2159,Cliente 2159,37634.75,Aprovada,-10.848,-48.1263,29
2160,Cliente 2160,898.63,Fraude,-15.7473,-47.5606,94
2161,Cliente 2161,3361.51,Fraude,-27.0474,-54.848,87
