Image_name,Card-set,Card_number,Rarity,Card_name,Other names,Card type,Attribute,Types,Level,ATK / DEF,Password,Status,Effect types,Ritual required,Property,Ritual Monster required,Pendulum Scale,Rank,Link Arrows,ATK / LINK,Other names (Japanese),Summoned by the effect of
GENF-EN049 SR.png,Generation Force,GENF-EN049,Super Rare,Surface,,Spell,,,,,33057951,"['Unlimited (OCG)', 'Unlimited (TCG)', 'Unlimited (TCG Speed Duel)']",['Effect'],,Normal,,,,,,,
GAOV-EN007 C.png,Galactic Overlord,GAOV-EN007,Common,Overlay Eater,,Monster,LIGHT,Reptile / Effect,2.0,300 / 800,81816475,"['Unlimited (OCG)', 'Unlimited (TCG)']",['Ignition'],,,,,,,,,
IOC-081 C.png,Invasion of Chaos,IOC-081,Common,Amphibious Bugroth MK-3,,Monster,WATER,Machine / Effect,4.0,1500 / 1300,64342551,"['Unlimited (OCG)', 'Unlimited (TCG)']",['Continuous'],,,,,,,,,
DCR-021 C.png,Dark Crisis,DCR-021,Common,Gyaku-Gire Panda,,Monster,EARTH,Beast / Effect,3.0,800 / 1600,09817927,"['Unlimited (OCG)', 'Unlimited (TCG)']","['Continuous', 'Continuous']",,,,,,,,,
DAMA-EN019 C.png,Dawn of Majesty,DAMA-EN019,Common,Gusto Vedir,,Monster,WIND,Winged Beast / Tuner / Effect,3.0,600 / 1000,86277379,"['Unlimited (OCG)', 'Unlimited (TCG)']","['Trigger', 'Trigger', 'Condition']",,,,,,,,,
STON-EN065 ScR.png,Strike of Neos,STON-EN065,Secret Rare,Nova Summoner,,Monster,LIGHT,Fairy / Effect,4.0,1400 / 800,48783998,"['Unlimited (OCG)', 'Unlimited (TCG)']",['Trigger'],,,,,,,,,
PHSW-EN013 SR.png,Photon Shockwave,PHSW-EN013,Super Rare,Lightserpent,,Monster,LIGHT,Reptile / Effect,3.0,1200 / 800,55501446,"['Unlimited (OCG)', 'Unlimited (TCG)']","['Trigger', 'Condition']",,,,,,,,,
RIRA-EN037 C.png,Rising Rampage,RIRA-EN037,Common,Magicalibra,,Monster,WATER,Spellcaster / Pendulum / Tuner / Normal,4.0,1000 / 1000,43857222,"['Unlimited (OCG)', 'Unlimited (TCG)']","['Pendulum Effect ', 'Ignition-like']",,,,5.0,,,,,
BODE-EN063 C.png,Burst of Destiny,BODE-EN063,Common,Royal Penguins Garden,,Spell,,,,,80893872,"['Unlimited (OCG)', 'Unlimited (TCG)']","['Effect', 'Ignition-like', 'Condition']",,Continuous,,,,,,,
GFP2-EN091 UR.png,Ghosts From the Past: The 2nd Haunting,GFP2-EN091,Ultra Rare,"Whitebeard, the Plunder Patroll Helm",,Monster,WATER,Fiend / Tuner / Effect,4.0,1500 / 1000,31374201,"['Unlimited (OCG)', 'Unlimited (TCG)']","['Quick', 'Trigger', 'Condition']",,,,,,,,,
STON-EN009 C.png,Strike of Neos,STON-EN009,Common,The Six Samurai - Yariza,,Monster,EARTH,Warrior / Effect,3.0,1000 / 500,69025477,"['Unlimited (OCG)', 'Unlimited (TCG)']","['Continuous', 'Continuous']",,,,,,,,,
LOB-058 SR.png,Legend of Blue Eyes White Dragon,LOB-058,Super Rare,Trap Hole,,Trap,,,,,04206964,"['Unlimited (OCG)', 'Unlimited (TCG)']",['Effect'],,Normal,,,,,,,
BOSH-EN013 C.png,Breakers of Shadow,BOSH-EN013,Common,Score the Melodious Diva,,Monster,LIGHT,Fairy / Effect,2.0,200 / 200,41767843,"['Unlimited (OCG)', 'Unlimited (TCG)']",['Quick'],,,,,,,,,
DAMA-EN014 C.png,Dawn of Majesty,DAMA-EN014,Common,Chronomaly Acambaro Figures,,Monster,EARTH,Rock / Effect,5.0,1000 / 1800,24506253,"['Unlimited (OCG)', 'Unlimited (TCG)']","['Unclassified', 'Ignition', 'Condition', 'Condition']",,,,,,,,,
MRD-140 C.png,Metal Raiders,MRD-140,Common,Share the Pain,,Spell,,,,,56830749,"['Unlimited (OCG)', 'Unlimited (TCG)', 'Unlimited (TCG Speed Duel)']","['Cost', 'Effect']",,Normal,,,,,,,
DUEA-EN000 SR.png,Duelist Alliance,DUEA-EN000,Super Rare,Dragon Horn Hunter,,Monster,DARK,Warrior / Pendulum,6.0,2300 / 1000,21970285,"['Unlimited (OCG)', 'Unlimited (TCG)']","['Pendulum Effect ', 'Continuous-like', 'Continuous-like']",,,,3.0,,,,,
LIOV-EN045 SR.png,Lightning Overdrive,LIOV-EN045,Super Rare,Dark Infant @Ignister,,Monster,DARK,Cyberse / Link / Effect,,,74567889,"['Unlimited (OCG)', 'Unlimited (TCG)']","['Trigger', 'Quick', 'Condition']",,,,,,Middle-Left,500 / 1,,
AST-092 SP.png,Ancient Sanctuary,AST-092,Short Print,Level Limit - Area B,,Spell,,,,,03136426,"['Unlimited (OCG)', 'Unlimited (TCG)']",['Continuous-like'],,Continuous,,,,,,,
STOR-EN056 C.png,Storm of Ragnarok,STOR-EN056,Common,Resonator Engine,,Spell,,,,,15576074,"['Unlimited (OCG)', 'Unlimited (TCG)']",['Effect'],,Normal,,,,,,,
PRIO-EN012 C.png,Primal Origin,PRIO-EN012,Common,Artifact Beagalltach,,Monster,LIGHT,Fairy / Effect,5.0,1400 / 2100,12697630,"['Unlimited (OCG)', 'Unlimited (TCG)']","['Unclassified', 'Trigger', 'Trigger', 'Condition']",,,,,,,,,
SOD-EN026 C.png,Soul of the Duelist,SOD-EN026,Common,Masked Dragon,,Monster,FIRE,Dragon / Effect,3.0,1400 / 1100,39191307,"['Unlimited (OCG)', 'Unlimited (TCG)']",['Trigger'],,,,,,,,,
AST-104 C.png,Ancient Sanctuary,AST-104,Common,Human-Wave Tactics,,Trap,,,,,30353551,"['Unlimited (OCG)', 'Unlimited (TCG)']",['Trigger-like'],,Continuous,,,,,,,
PGD-050 C.png,Pharaonic Guardian,PGD-050,Common,Pyro Clock of Destiny,,Trap,,,,,01082946,"['Unlimited (OCG)', 'Unlimited (TCG)']",['Effect'],,Normal,,,,,,,
STBL-EN099 ScR.png,Starstrike Blast,STBL-EN099,Secret Rare,Genex Ally Axel,,Monster,DARK,Machine / Synchro / Effect,8.0,2600 / 2000,66165755,"['Unlimited (OCG)', 'Unlimited (TCG)']",['Ignition'],,,,,,,,,
SOI-EN002 UR.png,Shadow of Infinity,SOI-EN002,Ultra Rare,"Hamon, Lord of Striking Thunder",,Monster,LIGHT,Thunder / Effect,10.0,4000 / 4000,32491822,"['Unlimited (OCG)', 'Unlimited (TCG)']","['Summoning condition', 'Summoning condition', 'Trigger', 'Continuous']",,,,,,,,,
CHIM-EN087 SR.png,Chaos Impact,CHIM-EN087,Super Rare,"Oneiros, the Dream Mirror Erlking",,Monster,LIGHT,Fairy / Fusion / Effect,10.0,3000 / 3000,35187185,"['Unlimited (OCG)', 'Unlimited (TCG)']","['Continuous', 'Condition', 'Trigger', 'Trigger']",,,,,,,,,
DAMA-EN000 ScR.png,Dawn of Majesty,DAMA-EN000,Secret Rare,Beetrooper Scout Buggy,,Monster,WIND,Insect / Effect,3.0,1000 / 300,02656842,"['Not yet released (OCG)', 'Unlimited (TCG)']","['Continuous', 'Trigger', 'Condition']",,,,,,,,,
DANE-EN005 C.png,Dark Neostorm,DANE-EN005,Common,Altergeist Fifinellag,,Monster,DARK,Spellcaster / Tuner / Effect,2.0,0 / 1000,12977245,"['Unlimited (OCG)', 'Unlimited (TCG)']",['Continuous'],,,,,,,,,
POTD-EN036 SR.png,Power of the Duelist,POTD-EN036,Super Rare,Super Vehicroid Jumbo Drill,,Monster,EARTH,Machine / Fusion / Effect,8.0,3000 / 2000,36256625,"['Unlimited (OCG)', 'Unlimited (TCG)']","['Summoning condition', 'Continuous']",,,,,,,,,
BACH-EN057 C.png,Battle of Chaos,BACH-EN057,Common,Ghostrick Shot,,Spell,,,,,69809989,"['Unlimited (OCG)', 'Unlimited (TCG)']","['Effect', 'Ignition-like', 'Condition']",,Normal,,,,,,,
SOI-EN022 C.png,Shadow of Infinity,SOI-EN022,Common,Anteatereatingant,,Monster,EARTH,Insect / Effect,5.0,2000 / 500,13250922,"['Unlimited (OCG)', 'Unlimited (TCG)']","['Summoning condition', 'Ignition']",,,,,,,,,
STBL-EN030 SR.png,Starstrike Blast,STBL-EN030,Super Rare,Naturia Cherries,,Monster,EARTH,Plant / Tuner / Effect,1.0,200 / 200,60668166,"['Unlimited (OCG)', 'Unlimited (TCG)']",['Trigger'],,,,,,,,,
FET-EN043 R.png,Flaming Eternity,FET-EN043,Rare,Spiral Spear Strike,,Spell,,,,,49328340,"['Unlimited (OCG)', 'Unlimited (TCG)', 'Unlimited (TCG Speed Duel)']","['Continuous-like', 'Trigger-like']",,Continuous,,,,,,,
IGAS-EN031 C.png,Ignition Assault,IGAS-EN031,Common,Squeaknight,,Monster,FIRE,Warrior / Union / Effect,1.0,500 / 500,38783169,"['Unlimited (OCG)', 'Unlimited (TCG)']","['Trigger', 'Ignition', 'Continuous-like']",,,,,,,,,
CHIM-EN077 SR.png,Chaos Impact,CHIM-EN077,Super Rare,Peaceful Burial,,Trap,,,,,14055212,"['Unlimited (OCG)', 'Unlimited (TCG)']","['Effect', 'Condition']",,Normal,,,,,,,
ANPR-EN077 C.png,Ancient Prophecy,ANPR-EN077,Common,Psychic Soul,,Trap,,,,,33323657,"['Unlimited (OCG)', 'Unlimited (TCG)']","['Cost', 'Effect']",,Normal,,,,,,,
SECE-EN076 C.png,Secrets of Eternity,SECE-EN076,Common,Unpossessed,,Trap,,,,,25704359,"['Unlimited (OCG)', 'Unlimited (TCG)']","['Continuous-like', 'Continuous-like', 'Trigger-like', 'Condition']",,Continuous,,,,,,,
MRD-024 R.png,Metal Raiders,MRD-024,Rare,Elegant Egotist,,Spell,,,,,90219263,"['Unlimited (OCG)', 'Unlimited (TCG)', 'Unlimited (TCG Speed Duel)']","['Activation requirement', 'Effect']",,Normal,,,,,,,
ANPR-EN000 ScR.png,Ancient Prophecy,ANPR-EN000,Secret Rare,XX-Saber Gardestrike,,Monster,EARTH,Beast-Warrior / Effect,5.0,2100 / 1400,42024143,"['Unlimited (OCG)', 'Unlimited (TCG)']",['Unclassified'],,,,,,,,,
LOB-001 UR.png,Legend of Blue Eyes White Dragon,LOB-001,Ultra Rare,Blue-Eyes White Dragon,,Monster,LIGHT,Dragon / Normal,8.0,3000 / 2500,89631139,"['Unlimited (OCG)', 'Unlimited (TCG)', 'Unlimited (TCG Speed Duel)']",,,,,,,,,Ｂ（ブルーアイズ）・Ｗ（ホワイト）・Ｄ（ドラゴン）Burūaizu Howaito Doragon,
SOFU-EN098 C.png,Soul Fusion,SOFU-EN098,Common,Ostinato,,Spell,,,,,09113513,"['Unlimited (OCG)', 'Unlimited (TCG)']","['Activation requirement', 'Effect', 'Lingering']",,Normal,,,,,,,
SOFU-EN053 C.png,Soul Fusion,SOFU-EN053,Common,Will of the Salamangreat,,Spell,,,,,64178424,"['Unlimited (OCG)', 'Unlimited (TCG)']","['Ignition-like', 'Ignition-like', 'Condition']",,Continuous,,,,,,,
ANPR-EN027 C.png,Ancient Prophecy,ANPR-EN027,Common,Fishborg Blaster,,Monster,WATER,Fish / Tuner,1.0,100 / 200,93369354,"['Forbidden (OCG)', 'Forbidden (TCG Advanced)', 'Limited (TCG Traditional)']","['Ignition', 'Condition']",,,,,,,,,
POTD-EN058 C.png,Power of the Duelist,POTD-EN058,Common,Fossil Excavation,,Trap,,,,,23869735,"['Unlimited (OCG)', 'Unlimited (TCG)']","['Cost', 'Effect', 'Continuous-like', 'Continuous-like', 'Continuous-like']",,Continuous,,,,,,,
MAGO-EN095 R.png,Maximum Gold,MAGO-EN095,Rare,Starlight Junktion,,Spell,,,,,01003840,"['Unlimited (OCG)', 'Unlimited (TCG)']","['Ignition-like', 'Trigger-like', 'Condition']",,Field,,,,,,,
RIRA-EN053 R.png,Rising Rampage,RIRA-EN053,Rare,Rising Fire,,Spell,,,,,66947913,"['Unlimited (OCG)', 'Unlimited (TCG)']","['Condition', 'Activation requirement', 'Effect', 'Continuous-like', 'Continuous-like', 'Trigger-like', 'Condition']",,Equip,,,,,,,
PGD-039 C.png,Pharaonic Guardian,PGD-039,Common,Timidity,,Spell,,,,,40350910,"['Unlimited (OCG)', 'Unlimited (TCG)']",['Effect'],,Normal,,,,,,,
GAOV-EN042 UR.png,Galactic Overlord,GAOV-EN042,Ultra Rare,Number 32: Shark Drake,,Monster,WATER,Sea Serpent / Xyz / Effect,,2800 / 2100,65676461,"['Unlimited (OCG)', 'Unlimited (TCG)']",['Trigger'],,,,,4.0,,,,
REDU-EN025 C.png,Return of the Duelist,REDU-EN025,Common,Madolche Butlerusk,,Monster,EARTH,Spellcaster / Effect,4.0,1500 / 800,48252330,"['Unlimited (OCG)', 'Unlimited (TCG)']","['Trigger', 'Trigger', 'Condition']",,,,,,,,,
RATE-EN013 C.png,Raging Tempest,RATE-EN013,Common,Ancient Gear Hunting Hound,,Monster,EARTH,Machine / Effect,3.0,1000 / 1000,42878636,"['Unlimited (OCG)', 'Unlimited (TCG)']","['Trigger', 'Continuous', 'Ignition']",,,,,,,,,
COTD-EN049 SR.png,Code of the Duelist,COTD-EN049,Super Rare,Auram the World Chalice Blademaster,,Monster,FIRE,Cyberse / Link / Effect,,,04709881,"['Unlimited (OCG)', 'Unlimited (TCG)']","['Continuous', 'Ignition', 'Condition', 'Trigger']",,,,,,"Bottom-Left,  Bottom-Right",2000 / 2,,
ABYR-EN008 C.png,Abyss Rising,ABYR-EN008,Common,Heroic Challenger - Extra Sword,,Monster,EARTH,Warrior / Effect,4.0,1000 / 1000,34143852,"['Unlimited (OCG)', 'Unlimited (TCG)']","['Unclassified', 'Trigger']",,,,,,,,,
CYHO-EN032 R.png,Cybernetic Horizon,CYHO-EN032,Rare,Dragunity Knight - Luin,,Monster,WIND,Dragon / Synchro / Tuner / Effect,6.0,1200 / 1900,12496261,"['Unlimited (OCG)', 'Unlimited (TCG)']","['Trigger', 'Trigger', 'Continuous-like', 'Condition']",,,,,,,,,
CORE-EN064 C.png,Clash of Rebellions,CORE-EN064,Common,Back-Up Rider,,Spell,,,,,68833958,"['Unlimited (OCG)', 'Unlimited (TCG)']",['Effect'],,Normal,,,,,,,
CDIP-EN011 UR.png,Cyberdark Impact,CDIP-EN011,Ultra Rare,Dark Lucius LV8,,Monster,EARTH,Fiend / Effect,8.0,2800 / 900,58206034,"['Unlimited (OCG)', 'Unlimited (TCG)', 'Unlimited (TCG Speed Duel)']",['Continuous'],,,,,,,,,
PGD-096 C.png,Pharaonic Guardian,PGD-096,Common,Raigeki Break,,Trap,,,,,04178474,"['Unlimited (OCG)', 'Unlimited (TCG)']","['Cost', 'Effect']",,Normal,,,,,,,
SOVR-EN086 SR.png,Stardust Overdrive,SOVR-EN086,Super Rare,Metabo-Shark,,Monster,WATER,Fish / Effect,4.0,1800 / 500,37792478,"['Unlimited (OCG)', 'Unlimited (TCG)']",['Trigger'],,,,,,,,,
DANE-EN001 C.png,Dark Neostorm,DANE-EN001,Common,Firewall Guardian,,Monster,DARK,Cyberse / Effect,4.0,100 / 2000,86605184,"['Unlimited (OCG)', 'Unlimited (TCG)']","['Trigger', 'Trigger', 'Condition']",,,,,,,,,
DANE-EN088 C.png,Dark Neostorm,DANE-EN088,Common,Valkyrie Chariot,,Monster,WIND,Fairy / Union / Effect,3.0,500 / 1000,19190082,"['Unlimited (OCG)', 'Unlimited (TCG)']","['Ignition', 'Continuous-like', 'Trigger-like']",,,,,,,,,
SOI-EN060 R.png,Shadow of Infinity,SOI-EN060,Rare,Malfunction,,Trap,,,,,06137095,"['Unlimited (OCG)', 'Unlimited (TCG)']","['Cost', 'Effect']",,Counter,,,,,,,
GENF-EN036 SR.png,Generation Force,GENF-EN036,Super Rare,Absolute Crusader,,Monster,EARTH,Warrior / Effect,4.0,1800 / 1200,70832512,"['Unlimited (OCG)', 'Unlimited (TCG)']",['Trigger'],,,,,,,,,
MRD-096 C.png,Metal Raiders,MRD-096,Common,Giga-Tech Wolf,,Monster,FIRE,Machine,4.0,1200 / 1400,08471389,"['Unlimited (OCG)', 'Unlimited (TCG)']",,,,,,,,,,
SECE-EN044 ScR.png,Secrets of Eternity,SECE-EN044,Secret Rare,Nekroz of Gungnir,,Monster,WATER,Spellcaster / Ritual / Effect,7.0,2500 / 1700,74122412,"['Unlimited (OCG)', 'Unlimited (TCG)']","['Summoning condition', 'Summoning condition', 'Condition', 'Quick', 'Quick']",,,,,,,,,
PGD-061 C.png,Pharaonic Guardian,PGD-061,Common,Gravekeeper's Guard,,Monster,DARK,Spellcaster / Effect,4.0,1000 / 1900,37101832,"['Unlimited (OCG)', 'Unlimited (TCG)']",['Flip'],,,,,,,,,
EOJ-EN024 C.png,Enemy of Justice,EOJ-EN024,Common,Guard Dog,,Monster,EARTH,Beast / Effect,3.0,1500 / 500,57346400,"['Unlimited (OCG)', 'Unlimited (TCG)']",['Flip'],,,,,,,,,
LOD-035 SR.png,Legacy of Darkness,LOD-035,Super Rare,Spear Dragon,,Monster,WIND,Dragon / Effect,4.0,1900 / 0,31553716,"['Unlimited (OCG)', 'Unlimited (TCG)', 'Unlimited (TCG Speed Duel)']","['Continuous', 'Continuous']",,,,,,,,,
BACH-EN048 SR.png,Battle of Chaos,BACH-EN048,Super Rare,Vampire Fascinator,,Monster,DARK,Zombie / Link / Effect,,,72860663,"['Unlimited (OCG)', 'Unlimited (TCG)']","['Trigger', 'Ignition', 'Condition']",,,,,,"Bottom-Left,  Bottom-Right,  Top-Center",2400 / 3,,
CROS-EN038 ScR.png,Crossed Souls,CROS-EN038,Secret Rare,Nekroz of Sophia,,Monster,LIGHT,Spellcaster / Ritual / Effect,11.0,3600 / 3400,21105106,"['Unlimited (OCG)', 'Unlimited (TCG)']","['Summoning condition', 'Summoning condition', 'Quick', 'Trigger', 'Condition']",,,,,,,,,
NECH-EN046 R.png,The New Challengers,NECH-EN046,Rare,Frightfur Bear,,Monster,DARK,Fiend / Fusion / Effect,6.0,2200 / 1800,85545073,"['Unlimited (OCG)', 'Unlimited (TCG)']",['Trigger'],,,,,,,,,
LON-007 C.png,Labyrinth of Nightmare,LON-007,Common,Flying Fish,,Monster,WIND,Fish,4.0,800 / 500,31987274,"['Unlimited (OCG)', 'Unlimited (TCG)']",,,,,,,,,,
SOFU-EN089 UR.png,Soul Fusion,SOFU-EN089,Ultra Rare,"Morgan, the Enchantress of Avalon",,Monster,DARK,Spellcaster / Effect,3.0,1300 / 1600,24027078,"['Unlimited (OCG)', 'Unlimited (TCG)']","['Quick', 'Condition']",,,,,,,,,
CYHO-EN016 SR.png,Cybernetic Horizon,CYHO-EN016,Super Rare,Dragunity Senatus,,Monster,WIND,Winged Beast / Effect,4.0,1800 / 600,92868896,"['Unlimited (OCG)', 'Unlimited (TCG)']","['Ignition', 'Condition', 'Continuous']",,,,,,,,,
STBL-EN007 UR.png,Starstrike Blast,STBL-EN007,Ultra Rare,Power Giant,,Monster,EARTH,Rock / Effect,6.0,2200 / 0,07025445,"['Unlimited (OCG)', 'Unlimited (TCG)']","['Unclassified', 'Unclassified']",,,,,,,,,
BODE-EN019 C.png,Burst of Destiny,BODE-EN019,Common,Reptilianne Nyami,,Monster,DARK,Reptile / Effect,2.0,200 / 0,42090294,"['Unlimited (OCG)', 'Unlimited (TCG)']","['Quick', 'Ignition', 'Condition']",,,,,,,,,
DIFO-EN025 C.png,Dimension Force,DIFO-EN025,Common,Battleguard Cadet,,Monster,EARTH,Warrior / Effect,1.0,50 / 100,05577149,"['Unlimited (OCG)', 'Unlimited (TCG)']","['Continuous', 'Condition', 'Trigger', 'Ignition']",,,,,,,,,
CYHO-EN028 C.png,Cybernetic Horizon,CYHO-EN028,Common,"Demise, Agent of Armageddon",,Monster,DARK,Fiend / Ritual / Effect,4.0,1800 / 1000,86124104,"['Unlimited (OCG)', 'Unlimited (TCG)']","['Summoning condition', 'Unclassified', 'Trigger', 'Trigger']","""Cycle of the World""",,,,,,,,
DAMA-EN082 C.png,Dawn of Majesty,DAMA-EN082,Common,Pazuzule,,Monster,DARK,Fiend / Pendulum / Effect,1.0,500 / 500,77384395,['Unlimited (TCG)'],"['Pendulum Effect ', 'Ignition-like', 'Monster Effect', 'Continuous']",,,,1.0,,,,,
DUEA-EN083 R.png,Duelist Alliance,DUEA-EN083,Rare,"Graff, Malebranche of the Burning Abyss",,Monster,DARK,Fiend / Effect,3.0,1000 / 1500,20758643,"['Unlimited (OCG)', 'Unlimited (TCG)']","['Continuous', 'Condition', 'Ignition', 'Trigger']",,,,,,,,,
SOI-EN042 R.png,Shadow of Infinity,SOI-EN042,Rare,Cyclone Boomerang,,Spell,,,,,29612557,"['Unlimited (OCG)', 'Unlimited (TCG)']","['Condition', 'Continuous-like', 'Trigger-like']",,Equip,,,,,,,
LODT-EN077 C.png,Light of Destruction,LODT-EN077,Common,Sanguine Swamp,,Trap,,,,,60627999,"['Unlimited (OCG)', 'Unlimited (TCG)']","['Continuous-like', 'Continuous-like', 'Continuous-like']",,Continuous,,,,,,,
BACH-EN066 C.png,Battle of Chaos,BACH-EN066,Common,Icejade Erosion,,Trap,,,,,53742162,"['Unlimited (OCG)', 'Unlimited (TCG)']","['Quick-like', 'Trigger-like', 'Condition']",,Continuous,,,,,,,
ANPR-EN004 C.png,Ancient Prophecy,ANPR-EN004,Common,Blackwing - Mistral the Silver Shield,,Monster,DARK,Winged Beast / Tuner / Effect,2.0,100 / 1800,46710683,"['Unlimited (OCG)', 'Unlimited (TCG)']",['Trigger'],,,,,,,,,
RIRA-EN019 C.png,Rising Rampage,RIRA-EN019,Common,"Simorgh, Bird of Calamity",,Monster,WIND,Winged Beast / Effect,3.0,1500 / 200,23619206,"['Unlimited (OCG)', 'Unlimited (TCG)']","['Trigger', 'Ignition', 'Condition']",,,,,,,,,
SHVI-EN085 ScR.png,Shining Victories,SHVI-EN085,Secret Rare,Kozmo Dark Planet,,Monster,DARK,Machine / Effect,10.0,4000 / 4000,85991529,"['Unlimited (OCG)', 'Unlimited (TCG)']","['Summoning condition', 'Summoning condition', 'Continuous', 'Quick', 'Trigger']",,,,,,,,,
TDIL-EN044 C.png,The Dark Illusion,TDIL-EN044,Common,Metalfoes Orichalc,,Monster,FIRE,Psychic / Fusion / Effect,8.0,2800 / 2200,28016193,"['Unlimited (OCG)', 'Unlimited (TCG)']","['Continuous', 'Trigger']",,,,,,,,,
ABYR-EN016 C.png,Abyss Rising,ABYR-EN016,Common,Mermail Abysshilde,,Monster,WATER,Aqua / Effect,3.0,1300 / 400,96682430,"['Unlimited (OCG)', 'Unlimited (TCG)']","['Trigger', 'Condition']",,,,,,,,,
SAST-EN090 UR.png,Savage Strike,SAST-EN090,Ultra Rare,Final Light,,Spell,,,,,17956906,"['Unlimited (OCG)', 'Unlimited (TCG)']","['Cost', 'Effect', 'Condition']",,Normal,,,,,,,
ABPF-EN076 C.png,Absolute Powerforce,ABPF-EN076,Common,Forgotten Temple of the Deep,,Trap,,,,,43889633,"['Unlimited (OCG)', 'Unlimited (TCG)']","['Continuous-like', 'Quick-like', 'Trigger-like']",,Continuous,,,,,,,
SOD-EN025 C.png,Soul of the Duelist,SOD-EN025,Common,Howling Insect,,Monster,EARTH,Insect / Effect,3.0,1200 / 1300,93107608,"['Unlimited (OCG)', 'Unlimited (TCG)']",['Trigger'],,,,,,,,,
LOD-077 C.png,Legacy of Darkness,LOD-077,Common,Heart of Clear Water,,Spell,,,,,64801562,"['Unlimited (OCG)', 'Unlimited (TCG)']","['Continuous-like', 'Continuous-like']",,Equip,,,,,,,
RATE-EN054 R.png,Raging Tempest,RATE-EN054,Rare,Zoodiac Boarbow,,Monster,EARTH,Beast-Warrior / Xyz / Effect,,? / ?,74393852,"['Unlimited (OCG)', 'Unlimited (TCG)']","['Summoning condition', 'Continuous', 'Continuous', 'Trigger']",,,,,4.0,,,,
LOB-090 SP.png,Legend of Blue Eyes White Dragon,LOB-090,Short Print,Vile Germs,,Spell,,,,,39774685,"['Unlimited (OCG)', 'Unlimited (TCG)']",['Continuous-like'],,Equip,,,,,,,
FOTB-EN022 SR.png,Force of the Breaker,FOTB-EN022,Super Rare,Sky Scourge Norleras,,Monster,DARK,Fiend / Effect,8.0,2400 / 1500,48453776,"['Unlimited (OCG)', 'Unlimited (TCG)']","['Summoning condition', 'Ignition']",,,,,,,,,
GENF-EN017 R.png,Generation Force,GENF-EN017,Rare,Wind-Up Snail,,Monster,WATER,Aqua / Effect,2.0,100 / 2000,58475908,"['Unlimited (OCG)', 'Unlimited (TCG)']",['Ignition'],,,,,,,,,
TDIL-EN094 C.png,The Dark Illusion,TDIL-EN094,Common,Empowerment,,Spell,,,,,54250060,"['Unlimited (OCG)', 'Unlimited (TCG)']","['Continuous-like', 'Ignition-like', 'Ignition-like']",,Field,,,,,,,
EEN-EN039 C.png,Elemental Energy,EEN-EN039,Common,Level Modulation,,Spell,,,,,61850482,"['Unlimited (OCG)', 'Unlimited (TCG)']",['Effect'],,Normal,,,,,,,
MFC-092 C.png,Magician's Force,MFC-092,Common,My Body as a Shield,,Spell,,,,,69279219,"['Unlimited (OCG)', 'Unlimited (TCG)']","['Activation requirement', 'Cost', 'Effect']",,Quick-Play,,,,,,,
REDU-EN048 SR.png,Return of the Duelist,REDU-EN048,Super Rare,Soul of Silvermountain,,Monster,EARTH,Rock / Xyz / Effect,,1800 / 2200,91895091,"['Unlimited (OCG)', 'Unlimited (TCG)']","['Ignition', 'Trigger']",,,,,3.0,,,,
GENF-EN065 C.png,Generation Force,GENF-EN065,Common,Explosive Urchin,,Trap,,,,,52140003,"['Unlimited (OCG)', 'Unlimited (TCG)']","['Activation requirement', 'Quick-like', 'Condition', 'Condition']",,Continuous,,,,,,,
TDGS-EN071 C.png,The Duelist Genesis,TDGS-EN071,Common,Psychic Rejuvenation,,Trap,,,,,21488686,"['Unlimited (OCG)', 'Unlimited (TCG)']",['Effect'],,Normal,,,,,,,
ABYR-EN001 R.png,Abyss Rising,ABYR-EN001,Rare,Gagaga Caesar,,Monster,EARTH,Warrior / Effect,3.0,1800 / 600,09583383,"['Unlimited (OCG)', 'Unlimited (TCG)']","['Continuous', 'Ignition', 'Condition']",,,,,,,,,
POTD-EN032 UR.png,Power of the Duelist,POTD-EN032,Ultra Rare,Elemental HERO Flare Neos,Elemental Hero Flare Neos,Monster,FIRE,Warrior / Fusion / Effect,7.0,2500 / 2000,81566151,"['Unlimited (OCG)', 'Unlimited (TCG)']","['Summoning condition', 'Continuous', 'Trigger']",,,,,,,,,
AST-096 C.png,Ancient Sanctuary,AST-096,Common,Delta Attacker,,Spell,,,,,39719977,"['Unlimited (OCG)', 'Unlimited (TCG)']","['Activation requirement', 'Effect']",,Normal,,,,,,,
GAOV-EN008 R.png,Galactic Overlord,GAOV-EN008,Rare,Hammer Shark,,Monster,WATER,Fish / Effect,4.0,1700 / 1500,17201174,"['Unlimited (OCG)', 'Unlimited (TCG)']",['Ignition'],,,,,,,,,
DANE-EN025 ScR.png,Dark Neostorm,DANE-EN025,Secret Rare,Ghost Sister & Spooky Dogwood,,Monster,WATER,Zombie / Tuner / Effect,3.0,0 / 1800,60643553,"['Unlimited (OCG)', 'Unlimited (TCG)']","['Quick', 'Condition']",,,,,,,,,
DCR-080 C.png,Dark Crisis,DCR-080,Common,Agido,,Monster,EARTH,Fairy / Effect,4.0,1500 / 1300,16135253,"['Unlimited (OCG)', 'Unlimited (TCG)']",['Trigger'],,,,,,,,,
LON-098 SP.png,Labyrinth of Nightmare,LON-098,Short Print,Fusion Gate,,Spell,,,,,33550694,"['Unlimited (OCG)', 'Unlimited (TCG)', 'Unlimited (TCG Speed Duel)']",['Ignition-like'],,Field,,,,,,,
