id,cliente,valor,status,lat,lng,risco_score,ibge,municipio,uf,estado,occurred_at,regiao
434,Cliente 434,10115.0,Aprovada,-20.1703,-42.2683,69,311290,Caputira,MG,Minas Gerais,2026-02-10T07:03:29,Sudeste
435,Cliente 435,26716.0,Pendenciada,-11.5488,-41.1565,59,292170,Morro do Chapéu,BA,Bahia,2026-04-29T11:05:44,Nordeste
436,Cliente 436,26263.97,Reprovada,-30.0875,-51.7275,34,430110,Arroio dos Ratos,RS,Rio Grande do Sul,2026-01-15T18:58:02,Sul
437,Cliente 437,32671.54,Aprovada,-20.9065,-48.6387,65,353150,Monte Azul Paulista,SP,São Paulo,2026-04-27T19:34:11,Sudeste
438,Cliente 438,40199.94,Aprovada,-29.3523,-52.9767,67,432026,Segredo,RS,Rio Grande do Sul,2026-07-04T06:27:25,Sul
439,Cliente 439,49544.06,Aprovada,-11.2508,-39.375,62,292800,Santaluz,BA,Bahia,2026-06-17T00:22:47,Nordeste
440,Cliente 440,36166.34,Aprovada,-22.1525,-42.9327,37,330515,São José do Vale do Rio Preto,RJ,Rio de Janeiro,2026-06-28T02:22:47,Sudeste
441,Cliente 441,16600.82,Aprovada,-20.787,-48.3314,15,355440,Terra Roxa,SP,São Paulo,2026-07-14T01:25:12,Sudeste
442,Cliente 442,31754.63,Aprovada,-15.3184,-50.0553,41,521385,Morro Agudo de Goiás,GO,Goiás,2026-04-29T07:43:42,Centro-Oeste
443,Cliente 443,34705.27,Aprovada,-4.64336,-40.2,20,230365,Catunda,CE,Ceará,2026-02-14T10:03:34,Nordeste
444,Cliente 444,32525.1,Reprovada,-6.89831,-37.606,57,250450,Condado,PB,Paraíba,2026-02-20T03:28:46,Nordeste
445,Cliente 445,40351.92,Aprovada,-16.2063,-52.1728,46,520340,Bom Jardim de Goiás,GO,Goiás,2026-01-25T23:28:26,Centro-Oeste
446,Cliente 446,22192.6,Aprovada,-19.9062,-49.3781,42,313340,Itapagipe,MG,Minas Gerais,2026-03-29T14:40:47,Sudeste
447,Cliente 447,22282.22,Aprovada,-17.774,-48.7725,65,521878,Rio Quente,GO,Goiás,2026-06-07T14:23:36,Centro-Oeste
448,Cliente 448,38947.21,Reprovada,-10.707,-48.9086,2,171550,Oliveira de Fátima,TO,Tocantins,2026-05-09T05:11:35,Norte
449,Cliente 449,42016.94,Aprovada,-31.7649,-52.3371,47,431440,Pelotas,RS,Rio Grande do Sul,2026-05-19T16:50:21,Sul
450,Cliente 450,31826.37,Aprovada,-21.6979,-42.9546,65,314020,Maripá de Minas,MG,Minas Gerais,2026-04-21T09:45:14,Sudeste
451,Cliente 451,41771.35,Aprovada,-19.5578,-44.4472,38,312640,Fortuna de Minas,MG,Minas Gerais,2026-03-10T08:05:16,Sudeste
452,Cliente 452,28950.6,Aprovada,-5.52181,-35.2631,63,240750,Maxaranguape,RN,Rio Grande do Norte,2026-04-23T16:40:39,Nordeste
453,Cliente 453,1534.75,Aprovada,-19.876,-42.1363,58,315935,Santa Rita de Minas,MG,Minas Gerais,2026-06-15T16:43:02,Sudeste
454,Cliente 454,35295.54,Pendenciada,-22.655,-52.8617,20,410710,Diamante do Norte,PR,Paraná,2026-02-27T18:48:39,Sul
455,Cliente 455,25446.15,Aprovada,-28.1233,-54.8373,60,431647,Salvador das Missões,RS,Rio Grande do Sul,2026-06-11T01:04:24,Sul
456,Cliente 456,20199.04,Aprovada,-32.024,-53.3944,21,430710,Herval,RS,Rio Grande do Sul,2026-03-18T11:26:00,Sul
457,Cliente 457,22387.02,Aprovada,-19.4231,-42.2552,62,310925,Bugre,MG,Minas Gerais,2026-01-30T12:15:39,Sudeste
458,Cliente 458,40860.24,Aprovada,-10.0051,-42.4936,36,292440,Pilão Arcado,BA,Bahia,2026-05-21T12:36:11,Nordeste
459,Cliente 459,22640.64,Pendenciada,-22.8495,-42.2299,3,330187,Iguaba Grande,RJ,Rio de Janeiro,2026-03-22T01:46:36,Sudeste
460,Cliente 460,38020.66,Aprovada,-27.8911,-52.2294,51,430890,Getúlio Vargas,RS,Rio Grande do Sul,2026-03-12T21:41:27,Sul
461,Cliente 461,24281.48,Reprovada,-21.8823,-50.9594,70,354470,Sagres,SP,São Paulo,2026-06-09T21:05:30,Sudeste
462,Cliente 462,44101.19,Aprovada,-24.2682,-51.272,19,412265,Rosário do Ivaí,PR,Paraná,2026-06-09T02:40:09,Sul
463,Cliente 463,1781.68,Pendenciada,-22.0112,-49.7873,50,352580,Júlio Mesquita,SP,São Paulo,2026-04-08T22:08:04,Sudeste
464,Cliente 464,17577.39,Aprovada,-7.08111,-45.1451,42,210610,Loreto,MA,Maranhão,2026-04-14T22:54:19,Nordeste
465,Cliente 465,29789.87,Aprovada,-16.9463,-50.4484,22,521640,Paraúna,GO,Goiás,2026-05-15T02:30:15,Centro-Oeste
466,Cliente 466,12364.7,Fraude,-10.2616,-37.3147,92,280220,Feira Nova,SE,Sergipe,2026-03-07T10:54:08,Nordeste
467,Cliente 467,14668.76,Aprovada,-20.3603,-40.6594,59,320190,Domingos Martins,ES,Espírito Santo,2026-03-01T15:44:09,Sudeste
468,Cliente 468,13870.29,Aprovada,-11.2219,-50.6676,59,510530,Luciara,MT,Mato Grosso,2026-04-15T05:28:05,Centro-Oeste
469,Cliente 469,15152.86,Aprovada,-29.8188,-53.3807,12,431550,Restinga Sêca,RS,Rio Grande do Sul,2026-06-03T17:12:31,Sul
470,Cliente 470,24922.3,Aprovada,-1.90057,-50.1987,24,150110,Bagre,PA,Pará,2026-01-17T20:22:44,Norte
471,Cliente 471,27961.41,Aprovada,-4.22514,-39.1912,26,230300,Caridade,CE,Ceará,2026-02-11T09:31:27,Nordeste
472,Cliente 472,12666.42,Pendenciada,-21.1757,-49.5791,28,352950,Mendonça,SP,São Paulo,2026-04-24T03:36:29,Sudeste
473,Cliente 473,16785.2,Aprovada,-27.9888,-54.8416,8,430370,Campina das Missões,RS,Rio Grande do Sul,2026-02-05T01:33:19,Sul
474,Cliente 474,19229.6,Reprovada,-5.81673,-42.5147,22,220140,Barro Duro,PI,Piauí,2026-01-21T12:17:32,Nordeste
475,Cliente 475,40037.52,Aprovada,-21.0192,-42.1109,70,310310,Antônio Prado de Minas,MG,Minas Gerais,2026-01-10T22:27:31,Sudeste
476,Cliente 476,582.85,Aprovada,-28.6578,-56.0036,64,431800,São Borja,RS,Rio Grande do Sul,2026-06-20T22:47:29,Sul
477,Cliente 477,23276.31,Aprovada,-30.1179,-51.9601,7,430270,Butiá,RS,Rio Grande do Sul,2026-01-31T07:06:12,Sul
478,Cliente 478,17681.02,Fraude,-6.81203,-41.3415,99,220985,São João da Canabrava,PI,Piauí,2026-06-24T07:50:51,Nordeste
479,Cliente 479,5499.95,Aprovada,-5.65349,-37.7946,57,240100,Apodi,RN,Rio Grande do Norte,2026-01-11T11:28:44,Nordeste
480,Cliente 480,2175.32,Aprovada,-8.36097,-36.5696,17,261240,Sanharó,PE,Pernambuco,2026-06-11T10:05:55,Nordeste
481,Cliente 481,47102.7,Aprovada,-4.64336,-40.2,44,230365,Catunda,CE,Ceará,2026-02-14T10:25:19,Nordeste
482,Cliente 482,45379.21,Aprovada,-3.89143,-38.6829,32,230770,Maranguape,CE,Ceará,2026-04-19T16:17:08,Nordeste
483,Cliente 483,10044.58,Aprovada,-29.6798,-50.2079,31,431177,Maquiné,RS,Rio Grande do Sul,2026-04-19T00:32:43,Sul
484,Cliente 484,3336.09,Aprovada,-4.7236,-44.328,47,210275,Capinzal do Norte,MA,Maranhão,2026-02-09T17:34:39,Nordeste
485,Cliente 485,12103.46,Aprovada,-17.802,-49.6197,53,521210,Joviânia,GO,Goiás,2026-04-08T06:41:54,Centro-Oeste
486,Cliente 486,37118.19,Aprovada,-21.7671,-42.5375,3,317210,Volta Grande,MG,Minas Gerais,2026-07-25T23:55:44,Sudeste
487,Cliente 487,26778.5,Pendenciada,-22.0861,-43.8293,65,315590,Rio Preto,MG,Minas Gerais,2026-06-07T12:14:38,Sudeste
488,Cliente 488,24710.91,Aprovada,-32.2327,-53.0862,58,430130,Arroio Grande,RS,Rio Grande do Sul,2026-01-15T19:28:38,Sul
489,Cliente 489,33627.7,Reprovada,-26.2495,-49.3831,24,421580,São Bento do Sul,SC,Santa Catarina,2026-06-20T15:11:15,Sul
490,Cliente 490,1192.52,Pendenciada,-7.15479,-35.9543,4,251240,Puxinanã,PB,Paraíba,2026-05-31T16:50:36,Nordeste
491,Cliente 491,41719.5,Aprovada,-20.8733,-45.5167,70,312020,Cristais,MG,Minas Gerais,2026-02-24T00:24:08,Sudeste
492,Cliente 492,22786.83,Aprovada,-19.6284,-44.6604,68,314960,Pequi,MG,Minas Gerais,2026-05-20T01:11:48,Sudeste
493,Cliente 493,20083.67,Reprovada,-10.5677,-37.7242,66,280520,Pinhão,SE,Sergipe,2026-05-22T14:53:51,Nordeste
494,Cliente 494,46352.97,Pendenciada,-25.7211,-53.7642,2,411980,Planalto,PR,Paraná,2026-05-25T03:54:02,Sul
495,Cliente 495,30143.57,Reprovada,-20.4823,-55.8104,65,500070,Anastácio,MS,Mato Grosso do Sul,2026-01-09T06:32:42,Centro-Oeste
496,Cliente 496,31055.78,Aprovada,-24.2682,-51.272,51,412265,Rosário do Ivaí,PR,Paraná,2026-06-09T02:44:48,Sul
497,Cliente 497,37869.6,Aprovada,-19.9794,-44.4318,17,314070,Mateus Leme,MG,Minas Gerais,2026-04-22T13:09:09,Sudeste
498,Cliente 498,19413.52,Aprovada,-29.5397,-53.859,52,431912,São Martinho da Serra,RS,Rio Grande do Sul,2026-06-29T08:52:25,Sul
499,Cliente 499,13958.27,Fraude,-9.41622,-40.5033,97,291840,Juazeiro,BA,Bahia,2026-04-08T12:02:43,Nordeste
500,Cliente 500,39382.44,Aprovada,-21.2951,-47.4304,19,354625,Santa Cruz da Esperança,SP,São Paulo,2026-06-12T11:51:41,Sudeste
501,Cliente 501,7357.02,Aprovada,-22.3572,-47.3842,7,350330,Araras,SP,São Paulo,2026-01-13T18:35:59,Sudeste
502,Cliente 502,15134.48,Aprovada,-18.6653,-43.0752,60,315680,Sabinópolis,MG,Minas Gerais,2026-06-09T17:29:38,Sudeste
503,Cliente 503,17782.48,Aprovada,-6.50684,-38.2567,45,251720,Vieirópolis,PB,Paraíba,2026-07-24T11:18:42,Nordeste
504,Cliente 504,19246.3,Reprovada,-5.78387,-37.5586,65,240230,Caraúbas,RN,Rio Grande do Norte,2026-02-10T21:28:52,Nordeste
505,Cliente 505,33319.88,Aprovada,-6.65075,-42.5418,41,220100,Arraial,PI,Piauí,2026-01-15T12:28:36,Nordeste
506,Cliente 506,36570.63,Aprovada,-20.2344,-50.8905,22,355490,Três Fronteiras,SP,São Paulo,2026-07-16T10:47:46,Sudeste
507,Cliente 507,5075.33,Aprovada,-21.7042,-44.4431,44,316530,São Vicente de Minas,MG,Minas Gerais,2026-07-02T21:25:17,Sudeste
508,Cliente 508,31122.2,Aprovada,-11.2329,-48.46,67,170980,Ipueiras,TO,Tocantins,2026-03-25T16:11:11,Norte
509,Cliente 509,27143.96,Aprovada,-27.1382,-48.5146,6,420245,Bombinhas,SC,Santa Catarina,2026-01-27T05:59:41,Sul
510,Cliente 510,43899.46,Aprovada,-27.3686,-53.4919,33,432350,Vista Alegre,RS,Rio Grande do Sul,2026-07-25T09:41:05,Sul
511,Cliente 511,48204.03,Aprovada,-5.26072,-42.3908,5,220779,Pau D'Arco do Piauí,PI,Piauí,2026-05-16T22:47:44,Nordeste
512,Cliente 512,12544.46,Pendenciada,-7.58969,-35.4808,53,261380,São Vicente Ferrer,PE,Pernambuco,2026-07-03T01:16:47,Nordeste
513,Cliente 513,48200.84,Reprovada,-28.0331,-49.133,4,421560,Santa Rosa de Lima,SC,Santa Catarina,2026-06-16T04:02:10,Sul
514,Cliente 514,29470.43,Aprovada,-20.1703,-42.2683,17,311290,Caputira,MG,Minas Gerais,2026-02-10T07:13:52,Sudeste
515,Cliente 515,38470.74,Pendenciada,-22.7858,-50.218,64,353530,Palmital,SP,São Paulo,2026-05-12T22:13:06,Sudeste
516,Cliente 516,23916.35,Pendenciada,-10.3178,-58.3592,9,510517,Juruena,MT,Mato Grosso,2026-04-09T17:19:26,Centro-Oeste
517,Cliente 517,25204.77,Aprovada,-22.9797,-49.8697,38,353470,Ourinhos,SP,São Paulo,2026-05-10T05:22:10,Sudeste
518,Cliente 518,40157.28,Aprovada,-27.0287,-51.9012,14,420780,Irani,SC,Santa Catarina,2026-03-26T05:46:48,Sul
519,Cliente 519,18407.52,Aprovada,-29.1713,-53.1639,59,430781,Estrela Velha,RS,Rio Grande do Sul,2026-03-06T02:05:57,Sul
520,Cliente 520,36880.58,Pendenciada,-6.62606,-42.6881,25,220410,Francisco Ayres,PI,Piauí,2026-03-10T14:21:36,Nordeste
521,Cliente 521,42290.02,Aprovada,-27.0798,-53.0037,16,421600,São Carlos,SC,Santa Catarina,2026-06-21T05:15:42,Sul
522,Cliente 522,19319.58,Fraude,-6.50684,-38.2567,91,251720,Vieirópolis,PB,Paraíba,2026-07-24T11:01:30,Nordeste
523,Cliente 523,19391.56,Aprovada,-26.5716,-52.3229,26,420010,Abelardo Luz,SC,Santa Catarina,2026-01-01T10:39:52,Sul
524,Cliente 524,27290.56,Aprovada,-4.40958,-40.4056,0,230520,Hidrolândia,CE,Ceará,2026-03-18T13:37:15,Nordeste
525,Cliente 525,991.07,Aprovada,-6.48529,-37.4488,62,251390,São Bento,PB,Paraíba,2026-06-20T11:24:41,Nordeste
526,Cliente 526,17000.34,Pendenciada,-9.6742,-37.133,13,270070,Batalha,AL,Alagoas,2026-01-21T21:52:09,Nordeste
527,Cliente 527,16332.07,Aprovada,-29.5148,-51.9928,59,430620,Cruzeiro do Sul,RS,Rio Grande do Sul,2026-02-25T04:32:18,Sul
528,Cliente 528,43372.67,Aprovada,-6.03576,-38.4624,23,231080,Pereiro,CE,Ceará,2026-05-20T07:25:35,Nordeste
529,Cliente 529,19136.12,Pendenciada,-22.1158,-45.5123,14,314440,Natércia,MG,Minas Gerais,2026-05-01T11:14:14,Sudeste
530,Cliente 530,8186.34,Pendenciada,-27.2567,-49.9301,13,421370,Pouso Redondo,SC,Santa Catarina,2026-05-29T09:23:50,Sul
531,Cliente 531,23097.87,Aprovada,-15.6121,-50.0265,4,520929,Guaraíta,GO,Goiás,2026-03-16T16:27:35,Centro-Oeste
532,Cliente 532,29548.29,Aprovada,-12.5059,-41.5809,65,292350,Palmeiras,BA,Bahia,2026-05-12T15:36:51,Nordeste
533,Cliente 533,39269.95,Aprovada,-27.2642,-53.8645,50,430632,Derrubadas,RS,Rio Grande do Sul,2026-02-27T08:59:06,Sul
534,Cliente 534,25813.68,Aprovada,-7.40982,-38.2113,39,250210,Boa Ventura,PB,Paraíba,2026-01-24T18:30:13,Nordeste
535,Cliente 535,35289.94,Aprovada,-6.39471,-48.5592,66,150745,São Geraldo do Araguaia,PA,Pará,2026-06-23T09:02:56,Norte
536,Cliente 536,3695.88,Aprovada,-26.8215,-53.2767,47,420775,Iraceminha,SC,Santa Catarina,2026-03-26T00:35:26,Sul
537,Cliente 537,43264.56,Aprovada,-7.66373,-35.1002,45,260780,Itaquitinga,PE,Pernambuco,2026-03-31T08:19:33,Nordeste
538,Cliente 538,17026.06,Aprovada,-28.9806,-49.4237,60,420195,Balneário Arroio do Silva,SC,Santa Catarina,2026-01-18T06:51:44,Sul
539,Cliente 539,25380.44,Aprovada,-16.6348,-40.7605,5,312560,Felisburgo,MG,Minas Gerais,2026-03-07T14:33:01,Sudeste
540,Cliente 540,41683.23,Aprovada,-6.07063,-35.3253,35,240780,Monte Alegre,RN,Rio Grande do Norte,2026-04-27T10:43:40,Nordeste
541,Cliente 541,11567.34,Aprovada,-5.05493,-44.5809,60,211125,São José dos Basílios,MA,Maranhão,2026-06-28T05:23:03,Nordeste
542,Cliente 542,34085.75,Fraude,-23.5226,-47.1357,90,355060,São Roque,SP,São Paulo,2026-07-01T10:42:46,Sudeste
543,Cliente 543,22549.8,Aprovada,-16.4672,-49.7579,57,520280,Avelinópolis,GO,Goiás,2026-01-17T10:35:09,Centro-Oeste
544,Cliente 544,9423.4,Aprovada,-24.1575,-54.0988,40,412740,Terra Roxa,PR,Paraná,2026-07-14T01:43:54,Sul
545,Cliente 545,29213.95,Aprovada,-27.6208,-52.3798,8,430170,Barão de Cotegipe,RS,Rio Grande do Sul,2026-01-19T05:31:49,Sul
546,Cliente 546,24190.24,Aprovada,-13.7138,-49.0144,64,521960,Santa Tereza de Goiás,GO,Goiás,2026-06-16T14:09:21,Centro-Oeste
547,Cliente 547,3977.31,Aprovada,-20.8508,-46.712,44,312630,Fortaleza de Minas,MG,Minas Gerais,2026-03-10T02:37:37,Sudeste
548,Cliente 548,33085.43,Aprovada,-22.8938,-45.307,30,354430,Roseira,SP,São Paulo,2026-06-09T05:31:15,Sudeste
549,Cliente 549,38361.0,Aprovada,-5.65349,-37.7946,24,240100,Apodi,RN,Rio Grande do Norte,2026-01-11T11:05:36,Nordeste
550,Cliente 550,26964.71,Aprovada,-5.78387,-37.5586,28,240230,Caraúbas,RN,Rio Grande do Norte,2026-02-10T21:39:22,Nordeste
551,Cliente 551,31030.43,Reprovada,-17.229,-44.4376,26,313560,Jequitaí,MG,Minas Gerais,2026-04-06T10:55:46,Sudeste
552,Cliente 552,32754.47,Fraude,-19.6971,-43.9586,99,316295,São José da Lapa,MG,Minas Gerais,2026-06-26T11:30:54,Sudeste
553,Cliente 553,47796.95,Pendenciada,-26.4442,-52.8281,70,421165,Novo Horizonte,SC,Santa Catarina,2026-05-07T12:54:51,Sul
554,Cliente 554,36654.52,Aprovada,-21.9887,-45.2911,9,313590,Jesuânia,MG,Minas Gerais,2026-04-06T18:06:38,Sudeste
555,Cliente 555,19310.28,Aprovada,-14.1226,-39.7353,69,291390,Ipiaú,BA,Bahia,2026-03-24T21:25:01,Nordeste
556,Cliente 556,7804.26,Reprovada,-6.82421,-41.7381,60,220480,Ipiranga do Piauí,PI,Piauí,2026-03-25T04:04:40,Nordeste
557,Cliente 557,38431.32,Reprovada,-11.7431,-39.1905,9,291330,Ichu,BA,Bahia,2026-03-21T06:50:18,Nordeste
558,Cliente 558,41907.69,Aprovada,-3.81411,-41.8308,20,221005,São José do Divino,PI,Piauí,2026-06-27T07:44:47,Nordeste
559,Cliente 559,16760.21,Aprovada,-8.49641,-36.94,23,261080,Pedra,PE,Pernambuco,2026-05-18T00:03:18,Nordeste
560,Cliente 560,48288.2,Aprovada,-20.4958,-43.851,67,311800,Congonhas,MG,Minas Gerais,2026-02-20T13:11:14,Sudeste
561,Cliente 561,42247.26,Aprovada,-19.3735,-42.1121,13,312250,Dom Cavati,MG,Minas Gerais,2026-03-01T04:57:50,Sudeste
562,Cliente 562,4882.61,Aprovada,-5.93485,-42.1172,37,220960,São Félix do Piauí,PI,Piauí,2026-06-22T05:02:21,Nordeste
563,Cliente 563,27368.56,Aprovada,-14.5162,-52.893,64,510260,Campinápolis,MT,Mato Grosso,2026-02-05T08:11:15,Centro-Oeste
564,Cliente 564,42140.81,Reprovada,-7.25922,-43.9364,53,220560,Landri Sales,PI,Piauí,2026-04-12T17:32:12,Nordeste
565,Cliente 565,27983.78,Aprovada,-16.0572,-45.1402,17,315057,Pintópolis,MG,Minas Gerais,2026-05-22T23:17:03,Sudeste
566,Cliente 566,46636.69,Pendenciada,-18.5356,-44.601,59,314360,Morro da Garça,MG,Minas Gerais,2026-04-29T10:18:21,Sudeste
567,Cliente 567,4043.86,Aprovada,-7.40982,-38.2113,69,250210,Boa Ventura,PB,Paraíba,2026-01-24T18:46:23,Nordeste
568,Cliente 568,4477.61,Reprovada,-27.7789,-53.1226,44,431845,São José das Missões,RS,Rio Grande do Sul,2026-06-26T15:26:42,Sul
569,Cliente 569,48237.44,Aprovada,-11.6577,-38.0814,8,290190,Aporá,BA,Bahia,2026-01-11T11:39:33,Nordeste
570,Cliente 570,36085.94,Aprovada,-2.64433,-44.8933,44,210760,Palmeirândia,MA,Maranhão,2026-05-12T13:41:24,Nordeste
571,Cliente 571,38483.13,Aprovada,-23.2037,-46.157,23,352020,Igaratá,SP,São Paulo,2026-03-21T21:16:34,Sudeste
572,Cliente 572,6033.63,Aprovada,-22.7102,-43.5518,10,330414,Queimados,RJ,Rio de Janeiro,2026-06-01T08:44:03,Sudeste
573,Cliente 573,28531.48,Aprovada,-6.34185,-37.4943,32,250280,Brejo do Cruz,PB,Paraíba,2026-01-29T16:03:21,Nordeste
574,Cliente 574,27381.6,Pendenciada,-28.3132,-51.1836,30,431261,Muitos Capões,RS,Rio Grande do Sul,2026-04-30T05:39:52,Sul
575,Cliente 575,468.14,Fraude,-14.321,-39.329,92,290240,Aurelino Leal,BA,Bahia,2026-01-16T22:52:38,Nordeste
576,Cliente 576,42105.31,Aprovada,-20.4977,-48.9391,18,351790,Guaraci,SP,São Paulo,2026-03-16T10:24:38,Sudeste
577,Cliente 577,37078.71,Aprovada,-9.12117,-36.3244,27,260470,Correntes,PE,Pernambuco,2026-02-22T19:04:53,Nordeste
578,Cliente 578,25429.7,Pendenciada,-27.6602,-50.5733,55,421680,São José do Cerrito,SC,Santa Catarina,2026-06-27T06:30:14,Sul
579,Cliente 579,39001.24,Pendenciada,-0.945439,-47.1253,24,150610,Primavera,PA,Pará,2026-05-31T01:32:10,Norte
580,Cliente 580,36675.64,Aprovada,-22.4114,-50.5732,60,353550,Paraguaçu Paulista,SP,São Paulo,2026-05-13T17:37:18,Sudeste
581,Cliente 581,31413.56,Aprovada,-5.63894,-36.8712,39,240485,Itajá,RN,Rio Grande do Norte,2026-03-28T09:43:13,Nordeste
582,Cliente 582,49951.42,Pendenciada,-27.2662,-49.708,70,420030,Agronômica,SC,Santa Catarina,2026-01-02T15:32:41,Sul
583,Cliente 583,8570.32,Reprovada,-21.7622,-41.3181,37,330100,Campos dos Goytacazes,RJ,Rio de Janeiro,2026-02-06T20:04:07,Sudeste
584,Cliente 584,23843.48,Aprovada,-30.1346,-52.0423,19,431225,Minas do Leão,RS,Rio Grande do Sul,2026-04-25T00:35:49,Sul
585,Cliente 585,12921.26,Aprovada,-16.5662,-42.8923,57,312780,Grão Mogol,MG,Minas Gerais,2026-03-15T01:01:31,Sudeste
586,Cliente 586,3792.6,Aprovada,-16.9539,-51.8091,11,520440,Caiapônia,GO,Goiás,2026-02-02T17:02:11,Centro-Oeste
587,Cliente 587,3342.59,Aprovada,-2.85774,-41.8186,35,220465,Ilha Grande,PI,Piauí,2026-03-22T13:44:33,Nordeste
588,Cliente 588,7720.03,Aprovada,-4.6625,-44.8558,65,210520,Igarapé Grande,MA,Maranhão,2026-03-21T17:25:44,Nordeste
589,Cliente 589,41568.73,Pendenciada,-22.8938,-45.307,51,354430,Roseira,SP,São Paulo,2026-06-09T05:30:48,Sudeste
590,Cliente 590,24107.52,Aprovada,-18.4141,-40.2171,52,320410,Pinheiros,ES,Espírito Santo,2026-05-22T21:08:14,Sudeste
591,Cliente 591,20661.29,Aprovada,-23.4072,-53.3687,53,411155,Ivaté,PR,Paraná,2026-04-02T06:29:14,Sul
592,Cliente 592,23135.24,Aprovada,-22.8057,-43.4233,70,330320,Nilópolis,RJ,Rio de Janeiro,2026-05-02T08:52:02,Sudeste
593,Cliente 593,45684.34,Aprovada,-29.2695,-51.6847,25,430593,Coronel Pilar,RS,Rio Grande do Sul,2026-02-22T09:07:55,Sul
594,Cliente 594,40292.88,Aprovada,-19.2241,-47.4579,24,314920,Pedrinópolis,MG,Minas Gerais,2026-05-18T23:49:54,Sudeste
595,Cliente 595,2989.54,Aprovada,-21.996,-47.4257,19,353930,Pirassununga,SP,São Paulo,2026-05-24T04:11:52,Sudeste
596,Cliente 596,16506.44,Aprovada,-27.2902,-53.6974,25,432370,Vista Gaúcha,RS,Rio Grande do Sul,2026-07-25T12:44:33,Sul
597,Cliente 597,38093.89,Fraude,-8.32999,-35.3544,87,261140,Primavera,PE,Pernambuco,2026-05-31T02:26:07,Nordeste
598,Cliente 598,33027.94,Aprovada,-5.85229,-35.3552,50,240710,Macaíba,RN,Rio Grande do Norte,2026-04-16T02:06:38,Nordeste
599,Cliente 599,43983.21,Reprovada,-7.14173,-35.2914,26,251276,Riachão do Poço,PB,Paraíba,2026-06-04T00:52:51,Nordeste
600,Cliente 600,6811.53,Fraude,-2.00027,-44.5281,91,210310,Cedral,MA,Maranhão,2026-02-14T22:15:06,Nordeste
601,Cliente 601,12560.76,Aprovada,-12.0311,-38.8694,51,292830,Santanópolis,BA,Bahia,2026-06-18T02:09:41,Nordeste
602,Cliente 602,42176.72,Pendenciada,-13.7537,-41.048,32,290880,Contendas do Sincorá,BA,Bahia,2026-02-21T00:14:02,Nordeste
603,Cliente 603,30782.0,Aprovada,-19.3384,-42.1575,31,316260,São João do Oriente,MG,Minas Gerais,2026-06-25T07:20:31,Sudeste
604,Cliente 604,43646.77,Aprovada,-6.8337,-35.1213,42,250890,Mamanguape,PB,Paraíba,2026-04-17T22:02:00,Nordeste
605,Cliente 605,22966.65,Aprovada,-14.6654,-40.4718,53,292500,Planalto,BA,Bahia,2026-05-25T02:27:31,Nordeste
606,Cliente 606,30469.18,Aprovada,-24.2834,-47.1736,33,352330,Itariri,SP,São Paulo,2026-03-31T13:17:36,Sudeste
607,Cliente 607,45377.53,Aprovada,-7.31341,-38.5133,19,250240,Bonito de Santa Fé,PB,Paraíba,2026-01-27T16:50:58,Nordeste
608,Cliente 608,33400.65,Pendenciada,-21.3594,-48.2316,32,351860,Guariba,SP,São Paulo,2026-03-17T11:32:28,Sudeste
609,Cliente 609,42492.92,Aprovada,-16.0572,-45.1402,20,315057,Pintópolis,MG,Minas Gerais,2026-05-22T23:46:23,Sudeste
610,Cliente 610,35706.37,Aprovada,-20.6769,-43.6141,67,313390,Itaverava,MG,Minas Gerais,2026-04-01T06:16:48,Sudeste
611,Cliente 611,33039.72,Reprovada,-22.7003,-45.0521,33,350995,Canas,SP,São Paulo,2026-02-07T12:32:36,Sudeste
612,Cliente 612,24496.58,Aprovada,-20.4326,-51.3426,13,352044,Ilha Solteira,SP,São Paulo,2026-03-22T15:19:34,Sudeste
613,Cliente 613,3885.84,Pendenciada,-9.63348,-36.5845,5,270200,Coité do Nóia,AL,Alagoas,2026-02-18T06:13:23,Nordeste
614,Cliente 614,30612.15,Pendenciada,-10.8653,-40.1311,19,292525,Ponto Novo,BA,Bahia,2026-05-27T02:55:19,Nordeste
615,Cliente 615,39462.59,Pendenciada,-22.5493,-45.9255,17,311850,Consolação,MG,Minas Gerais,2026-02-20T20:41:41,Sudeste
616,Cliente 616,47245.56,Aprovada,-20.6869,-42.6167,66,311170,Canaã,MG,Minas Gerais,2026-02-07T04:34:14,Sudeste
617,Cliente 617,23100.78,Reprovada,-27.2541,-52.4975,13,421187,Paial,SC,Santa Catarina,2026-05-11T11:10:08,Sul
618,Cliente 618,22967.02,Aprovada,-22.8374,-51.9743,62,410590,Colorado,PR,Paraná,2026-02-18T21:03:01,Sul
619,Cliente 619,15473.56,Aprovada,-26.624,-53.1997,65,421569,Santa Terezinha do Progresso,SC,Santa Catarina,2026-06-16T21:28:04,Sul
620,Cliente 620,5578.39,Aprovada,-28.3208,-49.0427,54,420620,Gravatal,SC,Santa Catarina,2026-03-15T04:16:15,Sul
621,Cliente 621,7070.83,Pendenciada,-28.6511,-49.2169,19,421120,Morro da Fumaça,SC,Santa Catarina,2026-04-29T09:21:05,Sul
622,Cliente 622,12561.78,Aprovada,-19.3889,-54.5507,42,500769,São Gabriel do Oeste,MS,Mato Grosso do Sul,2026-06-23T06:25:47,Centro-Oeste
